ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11554938,JC102669,1/3/2019 6:30,113XX S INDIANA AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,531,5,9,49,6,1179593,1829812,2019,1/10/2019 15:16,41.68828007,-87.61814779,"(41.688280065, -87.618147791)"
11554971,JC102726,1/2/2019 12:00,056XX S THROOP ST,620,BURGLARY,UNLAWFUL ENTRY,ABANDONED BUILDING,FALSE,FALSE,713,7,16,67,5,1168618,1867461,2019,1/10/2019 15:16,41.79183727,-87.65724362,"(41.791837272, -87.657243622)"
11554979,JC102722,1/3/2019 2:00,107XX S PEORIA ST,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2233,22,34,75,6,1172211,1833540,2019,1/10/2019 15:16,41.69867528,-87.64506364,"(41.698675284, -87.645063641)"
11554983,JC102758,1/2/2019 21:00,027XX W LEXINGTON ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1135,11,28,27,6,1158237,1896590,2019,1/10/2019 15:16,41.87198841,-87.69451479,"(41.871988409, -87.694514794)"
11554987,JC102801,1/2/2019 15:30,018XX W WEBSTER AVE,810,THEFT,OVER $500,OTHER,FALSE,FALSE,1432,14,32,22,6,1163566,1914655,2019,1/10/2019 15:16,41.92144965,-87.67444047,"(41.921449649, -87.674440469)"
11555001,JC101561,1/2/2019 9:58,069XX W 64TH PL,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,812,8,23,64,5,1131287,1860968,2019,1/10/2019 15:16,41.77474331,-87.79428156,"(41.774743309, -87.794281558)"
11555004,JC102608,1/3/2019 5:00,0000X W TERMINAL ST,810,THEFT,OVER $500,AIRCRAFT,FALSE,FALSE,1655,16,41,76,6,1104700,1933741,2019,1/10/2019 15:16,41.97486195,-87.89037215,"(41.974861952, -87.890372151)"
11555005,JC102754,1/2/2019 14:00,058XX S MICHIGAN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,232,2,20,40,7,1178152,1866426,2019,1/10/2019 15:16,41.78878607,-87.62231573,"(41.788786066, -87.622315729)"
11555007,JC102745,1/3/2019 2:00,060XX S ROCKWELL ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,825,8,16,66,6,1160074,1864560,2019,1/10/2019 15:16,41.78405664,-87.68865284,"(41.784056644, -87.688652842)"
11555019,JC102850,1/3/2019 10:55,017XX W 119TH ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,2234,22,34,75,6,1166736,1825769,2019,1/10/2019 15:16,41.67746865,-87.66533113,"(41.677468647, -87.665331132)"
11555022,JC102699,1/3/2019 8:38,054XX W GLADYS AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1522,15,29,25,6,1140314,1897811,2019,1/10/2019 15:16,41.87568617,-87.7602884,"(41.875686171, -87.760288404)"
11555023,JC102748,1/2/2019 23:30,052XX N NEWCASTLE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1613,16,41,10,6,1129935,1934397,2019,1/10/2019 15:16,41.97626651,-87.79755761,"(41.976266514, -87.797557611)"
11555025,JC102876,1/3/2019 10:36,030XX N BROADWAY,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,FALSE,FALSE,1934,19,44,6,6,1171724,1920381,2019,1/10/2019 15:16,41.93698613,-87.64429705,"(41.936986127, -87.644297045)"
11555035,JC102773,1/3/2019 10:01,109XX S DOTY AVE W,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,TRUE,FALSE,513,5,9,50,6,1185440,1832668,2019,1/10/2019 15:16,41.6959821,-87.59665314,"(41.695982095, -87.596653142)"
11555036,JC102824,1/3/2019 9:00,048XX S CHICAGO BEACH DR,810,THEFT,OVER $500,STREET,FALSE,FALSE,222,2,4,39,6,1187888,1873183,2019,1/10/2019 15:16,41.80710127,-87.58640245,"(41.807101267, -87.586402447)"
11555055,JC102846,1/3/2019 10:40,018XX W TOUHY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2424,24,49,1,7,1162639,1947864,2019,1/10/2019 15:16,42.0125961,-87.67691166,"(42.012596099, -87.676911656)"
11555056,JC102856,1/2/2019 8:00,036XX W CORTLAND ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2535,25,1,22,5,1151865,1912382,2019,1/10/2019 15:16,41.91545099,-87.71749304,"(41.915450993, -87.717493038)"
11555069,JC102903,1/3/2019 11:24,0000X N MICHIGAN AVE,890,THEFT,FROM BUILDING,SMALL RETAIL STORE,FALSE,FALSE,112,1,42,32,6,1177308,1900543,2019,1/10/2019 15:16,41.88242485,-87.62437788,"(41.882424852, -87.624377884)"
11555090,JC102689,1/2/2019 19:00,076XX S ESSEX AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,421,4,7,43,6,1194187,1854863,2019,1/10/2019 15:16,41.75667746,-87.56390135,"(41.756677456, -87.56390135)"
11555099,JC102769,1/3/2019 7:42,094XX S PEORIA ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2223,22,21,73,5,1171976,1842214,2019,1/10/2019 15:16,41.72248318,-87.64567046,"(41.722483183, -87.645670458)"
11555100,JC102915,1/3/2019 8:30,006XX W MONROE ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,121,1,42,28,6,1172202,1899815,2019,1/10/2019 15:16,41.88054139,-87.64314851,"(41.880541389, -87.643148513)"
11555105,JC102852,1/3/2019 10:50,054XX S KEELER AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,815,8,23,62,6,1149289,1868268,2019,1/10/2019 15:16,41.79444707,-87.72809948,"(41.794447067, -87.728099481)"
11555107,JC102720,1/1/2019 17:00,011XX W BARRY AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1933,19,44,6,6,1168313,1920741,2019,1/10/2019 15:16,41.93804853,-87.65682244,"(41.938048529, -87.656822439)"
11555112,JC102678,1/2/2019 14:30,060XX N KEDZIE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,2413,24,50,2,5,1153940,1940291,2019,1/10/2019 15:16,41.99199404,-87.70912281,"(41.991994035, -87.709122811)"
11555114,JC102873,1/3/2019 10:50,058XX N MOBILE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1622,16,45,10,7,1133261,1938327,2019,1/10/2019 15:16,41.98699306,-87.78523386,"(41.986993058, -87.785233864)"
11555116,JC102940,1/3/2019 7:00,070XX S PRAIRIE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,322,3,6,69,6,1179259,1858351,2019,1/10/2019 15:16,41.76660226,-87.6185029,"(41.766602258, -87.618502901)"
11555121,JC102644,1/3/2019 7:08,038XX W OHIO ST,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1122,11,27,23,5,1150751,1903733,2019,1/10/2019 15:16,41.89173917,-87.72181232,"(41.891739168, -87.721812316)"
11555122,JC102659,1/3/2019 3:45,018XX S ALBANY AVE,620,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,FALSE,FALSE,1022,10,24,29,5,1156007,1890802,2019,1/10/2019 15:16,41.85615077,-87.70285814,"(41.856150768, -87.702858141)"
11555130,JC102771,1/3/2019 9:39,004XX N MICHIGAN AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,DEPARTMENT STORE,FALSE,FALSE,1834,18,42,8,3,1177361,1903270,2019,1/10/2019 15:16,41.88990668,-87.62410051,"(41.889906681, -87.624100509)"
11555133,JC102782,1/3/2019 9:40,020XX E 79TH ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,414,4,8,46,6,1191073,1852990,2019,1/10/2019 15:16,41.75161364,-87.57537386,"(41.751613643, -87.575373855)"
11555142,JC102819,1/3/2019 10:30,016XX W 47TH ST,860,THEFT,RETAIL THEFT,DRUG STORE,TRUE,FALSE,924,9,15,61,6,1166298,1873549,2019,1/10/2019 15:16,41.80859321,-87.66557723,"(41.80859321, -87.665577234)"
11555143,JC102959,1/3/2019 11:52,039XX N WESTERN AVE,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,1921,19,47,5,6,1159666,1926273,2019,1/10/2019 15:16,41.95341152,-87.68844894,"(41.953411521, -87.688448935)"
11555148,JC101734,1/1/2019 16:30,019XX W 49TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,931,9,15,61,7,1164089,1872179,2019,1/10/2019 15:16,41.80488058,-87.67371794,"(41.80488058, -87.673717939)"
11555151,JC102661,1/3/2019 7:55,006XX N WALLER AVE,320,ROBBERY,STRONGARM - NO WEAPON,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1511,15,29,25,3,1138214,1903840,2019,1/10/2019 15:16,41.89226875,-87.76785308,"(41.892268747, -87.767853077)"
11555161,JC102954,1/2/2019 20:00,043XX S KEDVALE AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,815,8,14,57,6,1149399,1875645,2019,1/10/2019 15:16,41.81468852,-87.72750543,"(41.814688524, -87.727505433)"
11555162,JC103001,1/2/2019 12:30,002XX E CHICAGO AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1833,18,2,8,6,1178058,1905778,2019,1/10/2019 15:16,41.89677291,-87.62146443,"(41.896772914, -87.621464432)"
11555164,JC102956,1/2/2019 16:00,004XX S WESTERN AVE,820,THEFT,$500 AND UNDER,CTA TRAIN,FALSE,FALSE,1135,11,28,28,6,1160478,1897788,2019,1/10/2019 15:16,41.87522977,-87.68625398,"(41.875229772, -87.686253982)"
11555165,JC102982,1/3/2019 8:00,048XX S WESTERN AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,922,9,14,58,6,1161182,1872703,2019,1/10/2019 15:16,41.80637923,-87.68436509,"(41.806379228, -87.684365088)"
11555166,JC102892,1/3/2019 11:00,063XX S EGGLESTON AVE,810,THEFT,OVER $500,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,722,7,20,68,6,1174372,1862713,2019,1/10/2019 15:16,41.77868214,-87.63628595,"(41.778682138, -87.636285946)"
11555193,JC102942,1/3/2019 11:30,027XX W FLOURNOY ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,TRUE,1135,11,28,27,7,1158282,1896923,2019,1/10/2019 15:16,41.87290128,-87.69434048,"(41.872901275, -87.694340478)"
11555197,JC103003,1/2/2019 11:42,005XX W NORTH AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1821,18,2,8,6,1172481,1910942,2019,1/10/2019 15:16,41.91106836,-87.64179474,"(41.911068362, -87.641794743)"
11555198,JC103108,1/3/2019 13:40,077XX S BENNETT AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,414,4,8,43,6,1190212,1854074,2019,1/10/2019 15:16,41.75460901,-87.57849411,"(41.754609006, -87.578494109)"
11555199,JC103067,1/3/2019 12:30,023XX N MILWAUKEE AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1414,14,1,22,6,1157055,1915359,2019,1/10/2019 15:16,41.92351627,-87.6983444,"(41.923516266, -87.698344402)"
11555206,JC103019,1/3/2019 12:24,056XX S RACINE AVE,890,THEFT,FROM BUILDING,APARTMENT,FALSE,TRUE,712,7,16,68,6,1169282,1867411,2019,1/10/2019 15:16,41.79168571,-87.6548103,"(41.791685711, -87.654810301)"
