Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.008E+13,12/8/2008,1520,12/8/2008,1520,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DOWNTOWN COMMERCIAL
2.008E+13,12/8/2008,1530,12/8/2008,1755,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.008E+13,12/8/2008,1530,12/8/2008,1640,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,O,O2,GEORGETOWN
2.008E+13,12/8/2008,1535,12/8/2008,1535,MOTOR VEHICLE THEFT,VEH-THEFT-HVYEQUIP,NORTH,L,L3,LAKECITY
2.008E+13,12/8/2008,1600,12/9/2008,1015,CAR PROWL,THEFT-CARPROWL,WEST,D,D2,QUEEN ANNE
2.008E+13,12/8/2008,1600,12/9/2008,1,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BALLARD NORTH
2.008E+13,12/8/2008,1630,12/9/2008,838,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W2,ALASKA JUNCTION
2.008E+13,12/8/2008,1645,12/8/2008,1855,CAR PROWL,THEFT-CARPROWL,SOUTH,O,O1,SODO
2.008E+13,12/8/2008,1657,12/8/2008,1659,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,WEST,M,M3,DOWNTOWN COMMERCIAL
2.008E+13,12/8/2008,1700,12/12/2008,1310,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M3,DOWNTOWN COMMERCIAL
2.008E+13,12/8/2008,1700,12/9/2008,102,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W2,ALASKA JUNCTION
2.008E+13,12/8/2008,1700,12/9/2008,1759,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R2,MOUNT BAKER
2.008E+13,12/8/2008,1700,12/9/2008,805,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,O,O3,GEORGETOWN
2.008E+13,12/8/2008,1730,12/8/2008,2125,CAR PROWL,THEFT-CARPROWL,WEST,D,D3,SLU/CASCADE
2.008E+13,12/8/2008,1730,12/9/2008,739,CAR PROWL,THEFT-CARPROWL,NORTH,N,N2,BITTERLAKE
2.008E+13,12/8/2008,1730,12/9/2008,1401,CAR PROWL,THEFT-CARPROWL,NORTH,N,N3,GREENWOOD
2.008E+13,12/8/2008,1745,12/8/2008,2143,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL
2.008E+13,12/8/2008,1800,12/10/2008,1143,CAR PROWL,THEFT-CARPROWL,NORTH,B,B3,WALLINGFORD
2.008E+13,12/8/2008,1800,12/9/2008,1838,CAR PROWL,THEFT-CARPROWL,NORTH,N,N3,BITTERLAKE
2.009E+11,12/8/2008,1800,1/2/2009,1758,CAR PROWL,THEFT-AUTOACC,NORTH,N,N1,BITTERLAKE
2.008E+13,12/8/2008,1800,12/9/2008,731,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QUEEN ANNE
2.008E+13,12/8/2008,1830,12/8/2008,1947,CAR PROWL,THEFT-CARPROWL,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.008E+13,12/8/2008,1830,12/9/2008,912,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FREMONT
2.008E+13,12/8/2008,1925,12/8/2008,2000,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B1,BALLARD SOUTH
2.008E+13,12/8/2008,2000,12/9/2008,719,CAR PROWL,THEFT-CARPROWL,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.008E+13,12/8/2008,2000,12/9/2008,1148,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/8/2008,2000,12/10/2008,1035,CAR PROWL,THEFT-AUTOACC,SOUTH,R,R2,MOUNT BAKER
2.008E+13,12/8/2008,2000,12/13/2008,1950,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B2,FREMONT
2.008E+13,12/8/2008,2001,12/8/2008,2001,CAR PROWL,THEFT-CARPROWL,WEST,M,M1,DOWNTOWN COMMERCIAL
2.008E+13,12/8/2008,2026,12/8/2008,2028,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R2,MOUNT BAKER
2.008E+13,12/8/2008,2100,12/9/2008,905,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FREMONT
2.008E+13,12/8/2008,2100,12/9/2008,319,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N2,NORTHGATE
2.008E+13,12/8/2008,2100,12/9/2008,943,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/8/2008,2100,12/9/2008,1030,CAR PROWL,THEFT-CARPROWL,NORTH,J,J1,BALLARD NORTH
2.008E+13,12/8/2008,2100,12/9/2008,857,CAR PROWL,THEFT-CARPROWL,NORTH,B,B3,WALLINGFORD
2.008E+13,12/8/2008,2100,12/9/2008,2125,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,R,R3,COLUMBIA CITY
