Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.018E+11,1/3/2018,1000,1/3/2018,1653,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,L,L1,LAKECITY
2.018E+11,1/3/2018,1002,1/3/2018,1002,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,SOUTH,O,O2,GEORGETOWN
2.018E+13,1/3/2018,1055,1/5/2018,1106,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,U,U3,SANDPOINT
2.018E+11,1/3/2018,1108,1/3/2018,1108,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,E,E3,CAPITOL HILL
2.019E+11,1/3/2018,1200,1/4/2019,901,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O3,GEORGETOWN
2.018E+13,1/3/2018,1200,7/28/2018,1622,THEFT-ALL OTHER,THEFT-MAIL,NORTH,N,N1,BITTERLAKE
2.018E+11,1/3/2018,1225,1/3/2018,1443,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U2,UNIVERSITY
2.018E+11,1/3/2018,1236,1/9/2018,758,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
2.018E+11,1/3/2018,1253,1/3/2018,1612,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,D,D1,BELLTOWN
2.018E+12,1/3/2018,1254,1/9/2018,913,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
2.018E+11,1/3/2018,1258,1/9/2018,1037,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
2.018E+11,1/3/2018,1324,1/3/2018,1324,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J2,PHINNEY RIDGE
