Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
20180000362649,09/28/2018,353,09/28/2018,353,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S3,RAINIER VIEW
20180000363108,09/28/2018,400,09/28/2018,1311,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,G,G3,JUDKINS PARK/NORTH BEACON HILL
20180000386290,09/28/2018,500,10/15/2018,1557,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M3,DOWNTOWN COMMERCIAL
20180000362686,09/28/2018,506,09/28/2018,506,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M3,DOWNTOWN COMMERCIAL
20180000362748,09/28/2018,530,09/28/2018,705,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L1,LAKECITY
20180000362698,09/28/2018,536,09/28/2018,536,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,N,N3,NORTHGATE
20180000362759,09/28/2018,713,09/28/2018,754,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J3,PHINNEY RIDGE
20180000362799,09/28/2018,749,09/28/2018,749,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,WEST,Q,Q2,QUEEN ANNE
20180000464299,09/28/2018,800,12/13/2018,1211,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL
20180000909989,09/28/2018,820,10/27/2018,837,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,U,U2,UNIVERSITY
20180000370403,09/28/2018,903,10/03/2018,1618,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E1,CAPITOL HILL
20180000909093,09/28/2018,905,09/30/2018,909,THEFT-ALL OTHER,THEFT-MAIL,SOUTHWEST,F,F1,NORTH DELRIDGE
20180000362980,09/28/2018,920,09/28/2018,1004,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,N,N1,BITTERLAKE
20180000362919,09/28/2018,928,09/28/2018,928,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,WEST,M,M1,DOWNTOWN COMMERCIAL
20180000909114,09/28/2018,935,09/30/2018,1340,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,FIRST HILL
20180000363071,09/28/2018,1000,09/28/2018,1111,THEFT-BUILDING,THEFT-BUILDING,SOUTH,O,O1,SODO
20180000363964,09/28/2018,1030,09/28/2018,2126,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,S,S1,SOUTH BEACON HILL
20180000363029,09/28/2018,1047,09/28/2018,1047,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q2,QUEEN ANNE
20180000909160,09/28/2018,1105,10/01/2018,1852,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L1,LAKECITY
20180000363080,09/28/2018,1112,09/28/2018,1259,BURGLARY-COMMERCIAL-SECURE PARKING,BURGLARY-SECURE PARKING-NONRES,EAST,E,E3,FIRST HILL
20180000363118,09/28/2018,1126,09/28/2018,1126,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W2,NORTH DELRIDGE
20180000368753,09/28/2018,1128,10/02/2018,1643,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J3,ROOSEVELT/RAVENNA
20180000369143,09/28/2018,1200,10/02/2018,1854,THEFT-BICYCLE,THEFT-BICYCLE,SOUTHWEST,W,W2,ALASKA JUNCTION
20180000363148,09/28/2018,1200,09/28/2018,1247,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
20180000374147,09/28/2018,1230,10/06/2018,1123,BURGLARY-COMMERCIAL-SECURE PARKING,BURGLARY-SECURE PARKING-NONRES,NORTH,U,U2,UNIVERSITY
20180000363233,09/28/2018,1230,09/28/2018,1243,THEFT-BUILDING,THEFT-BUILDING,SOUTH,O,O1,SODO
20180000363225,09/28/2018,1241,09/28/2018,1241,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N3,GREENWOOD
20180000909605,09/28/2018,1244,10/16/2018,844,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D3,EASTLAKE - WEST
20180000363710,09/28/2018,1300,09/28/2018,1758,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,K,K1,DOWNTOWN COMMERCIAL
20180000363716,09/28/2018,1310,09/28/2018,1310,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000363377,09/28/2018,1330,09/28/2018,1422,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U2,UNIVERSITY
20180000363331,09/28/2018,1349,09/28/2018,1349,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
20180000363328,09/28/2018,1349,09/28/2018,1349,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U3,ROOSEVELT/RAVENNA
20180000909126,09/28/2018,1351,09/30/2018,1922,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,JUDKINS PARK/NORTH BEACON HILL
